title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Meet Bill,6.103,290,2007-09-07,346592,97,False,5000000,en,Meet Bill,12.682,"Comedy, Drama, Romance","Eclipse Catering, GreeneStreet Films",United States of America,English,"adultery, high school, candy, mentor, marijuana, drugs, injury, franchise, woman director, accident"
The Caine Mutiny,7.167,290,1954-06-23,21750000,124,False,2000000,en,The Caine Mutiny,12.754,"Drama, War","Stanley Kramer Productions, Columbia Pictures",United States of America,English,"mutiny, post-traumatic stress disorder (ptsd), war ship, paranoia, world war ii, mental breakdown, cowardice, military court, u.s. navy, naval officer, novelist, military life, psychiatry, naval, court martial, storm at sea, target practice, shipyard, naval warfare, 1940s, courtroom drama, panic attack, uniform code of military justice, battle sequence, military authority, relief of command, ward room, military attorney, slack ship, training exercise, tow rope, feelings of persecution, sanity vs insanity, combat veteran"
Fritz the Cat,6.149,289,1972-04-12,25000000,78,False,850000,en,Fritz the Cat,13.771,"Animation, Comedy, Drama","Cinemation Industries, Steve Krantz Productions, Aurica Finance Company, Fritz Productions",United States of America,English,"new york city, students' movement, underground, cat, midnight movie, orgy, sexual revolution, addiction, violence against women, race riot, anthropomorphism, hallucinogenic drug, sexual freedom, grindhouse, sexual violence, drugs, adult animation"
Louder Than Bombs,6.479,289,2015-10-01,1428004,105,False,11000000,en,Louder Than Bombs,13.882,Drama,"Motlys, Animal Kingdom, ARTE France Cinéma","Denmark, France, Norway","English, French","new york city, sibling relationship, parent child relationship, loss of loved one, war photographer, grieving widower, grief, car accident, death of mother, father son reunion, existentialism, new york times, death of wife"
Aline,6.803,289,2020-11-19,11131254,126,False,25900000,fr,Aline,9.544,"Music, Comedy, Drama","Caramel Films, Rectangle Productions, TF1 Studio, Gaumont, Belga Productions, Téléfilm Canada, Entourage Pictures","Canada, France","English, French","singer, fictional biography"
Earthquake,6.106,289,1974-11-15,79666653,123,False,7000000,en,Earthquake,15.528,"Action, Drama, Thriller","Universal Pictures, The Filmakers Group",United States of America,English,"fire, supermarket, skyscraper, architect, natural disaster, earthquake, flooding, parking garage, national guard, child in peril, billiard hall, disaster, los angeles, california, explosion, motorcycle, destruction, alcoholic, policeman, daredevil, disaster movie, sensurround, dam collapse"
The Spacewalker,7.076,288,2017-04-06,9868942,140,False,7075038,ru,Время первых,12.077,"Adventure, Drama, History, Thriller",Bazelevs Production,Russia,Russian,"spacecraft, bravery, pilot, astronaut, spacewalk, 1960s"
A Whole Life Ahead,6.58,288,2008-03-28,5788176,117,False,6150000,it,Tutta la vita davanti,7.034,"Comedy, Drama","Medusa Film, Motorino Amaranto, Sky Italia",Italy,Italian,"call center, unemployment, labor organizer, social issues, dramedy, graduate student, workplace comedy, worker's rights, romantic misunderstanding, bullying in the workplace"
Six Degrees of Separation,6.333,288,1993-12-08,6284090,112,False,15000000,en,Six Degrees of Separation,12.53,"Mystery, Drama, Comedy","New Regency Pictures, Maiden Movies, Metro-Goldwyn-Mayer",United States of America,English,"new york city, con man, art, art dealer"
Things to Come,6.564,288,2016-04-06,282382,102,False,2100000,fr,L'Avenir,8.702,Drama,"ARTE France Cinéma, Detailfilm, CG Cinéma, Auvergne-Rhône-Alpes Cinéma","Germany, France","German, French, English","philosophy, high school teacher, woman director"
12,6.941,287,2007-06-06,7537453,159,False,4000000,ru,12,11.163,"Crime, Drama, Mystery","Studio Trite, Federal Agency for Culture and Cinematograph, Mosfilm",Russia,"Chechen, Russian","court case, jurors, jury, chechnya, racism, courtroom drama"
Luther,6.406,287,2003-10-29,29413900,123,False,30000000,en,Luther,12.419,"Drama, History","NFP Teleart Berlin, Eikon Film, Thrivent Financial for Lutherans","Germany, United States of America","English, Latin","protestant church, church, catholicism, historical drama, 16th century, martin luther"
Mary Reilly,5.784,287,1996-02-23,12379402,104,False,47000000,en,Mary Reilly,13.148,"Drama, Horror, Thriller","NFH Films, TriStar Pictures",United States of America,English,"monster, servant, laboratory, jekyll and hyde, housemaid, 19th century"
Silver Streak,6.704,287,1976-12-03,51079064,114,False,6500000,en,Silver Streak,14.558,"Comedy, Crime, Romance, Thriller","Frank Yablans Presentations, Miller-Milkis Productions, 20th Century Fox",United States of America,English,"two man army, kansas, usa, train, theft, false accusations, semiautomatic pistol, sleeping car"
Gigi,6.237,287,1958-05-15,13200000,116,False,3319355,en,Gigi,11.897,"Comedy, Romance","Arthur Freed Production, Metro-Goldwyn-Mayer",United States of America,"English, French","paris, france, based on novel or book, jewelry, courtesan, musical, champagne, based on play or musical, coming of age, playboy, love, memory, class differences, park, courtship, ice rink, bois de boulogne"
Silkwood,6.946,287,1983-12-14,35600000,131,False,10000000,en,Silkwood,14.423,"Drama, Thriller",ABC Pictures,United States of America,English,"research, plutonium, radiation, oklahoma, nuclear power plant, idealism, idealist, fighting the system"
Serving Sara,5.306,286,2002-08-23,16930185,100,False,29000000,en,Serving Sara,11.239,"Comedy, Romance",Mandalay Pictures,United States of America,"Spanish, English","new york city, texas, wealth, falling in love, divorce, pretty woman, misadventure, process server, winery"
Clockers,6.78,286,1995-09-15,13071518,128,False,25000000,en,Clockers,11.058,"Mystery, Crime, Drama","40 Acres and a Mule Filmworks, Universal Pictures",United States of America,English,"drug pusher, train, drugs, drug lord, brooklyn, new york city, housing project, inner city life"
Red Rock West,6.64,286,1993-05-14,2500000,98,False,8000000,en,Red Rock West,10.8,"Crime, Drama, Thriller","Propaganda Films, PolyGram Filmed Entertainment, Universal Pictures",United States of America,English,"vietnam veteran, sheriff, wyoming, usa, hitman, gun, gas station, cemetery, motel, money, murder, bag of money, criminal, unemployment, war injury, oil rig , neo-noir"
Chak De! India,7.205,286,2007-08-09,40000000,148,False,6300000,hi,चकदे! इंडिया,11.467,Drama,Yash Raj Films,India,"English, Hindi","sports, coach, field hockey"
Suspect Zero,5.544,286,2004-08-27,13000000,99,False,27000000,en,Suspect Zero,11.379,"Crime, Thriller","Paramount, Cruise/Wagner Productions, Lakeshore Entertainment, Intermedia Films","Germany, United Kingdom, United States of America",English,serial killer
The Salton Sea,6.58,286,2002-02-02,676698,103,False,18000000,en,The Salton Sea,12.49,"Crime, Drama, Mystery, Thriller","Humble Journey Films, Castle Rock Entertainment, Darkwoods Productions",United States of America,English,"california, dual identity, identity, detective, junkie, jazz singer or musician, drug scene, flashback, murder, police corruption, neo-noir, death of wife, drug deal, methamphetamine"
Night of the Demons,6.234,286,1988-10-14,3109904,90,False,1200000,en,Night of the Demons,8.391,"Horror, Comedy","Meridian Productions, Paragon Arts International, Blue Rider Pictures, Republic Pictures (II), Skouras Pictures",United States of America,English,"halloween, possession, demon, celebration"
Kiss of Death,5.589,286,1995-04-21,14942422,101,False,40000000,en,Kiss of Death,9.828,"Crime, Thriller, Drama",20th Century Fox,United States of America,English,"prison, new york city, undercover agent, gangster, psychopath, paranoia, witness protection, remake, revenge, murder, organized crime, recovering alcoholic, federal agent, hoodlum, undercover operation, neo-noir"
The Fabulous Baker Boys,6.581,285,1989-10-13,18428904,114,False,13000000,en,The Fabulous Baker Boys,9.845,"Comedy, Drama, Music, Romance","Tobis, Gladden Entertainment, Mirage, 20th Century Fox",United States of America,English,"success, liquor, aspiring singer, singer, playing piano, nightclub singer, nightclub entertainer, nightclub act, nightclub performer, instrumental jazz, self reflection, brother brother relationship, musical duo, struggling musician, brothers, piano player"
Gemma Bovery,6.086,285,2014-09-10,154701,99,False,9700000,fr,Gemma Bovery,8.785,"Romance, Drama, Comedy","Ciné-@, Gaumont, Cinéfrance 1888, France 2 Cinéma, OCS, Ruby Films, BFI, Canal+, France Télévisions, Albertine Productions","United Kingdom, France","English, French","small town, parent child relationship, literature, death, woman director, art restoration, reading a diary"
Ooops! Noah Is Gone...,6.337,285,2015-03-26,769028,85,False,6000000,en,Ooops! Noah Is Gone...,15.211,"Animation, Adventure, Comedy, Family","Moetion Films, Ulysses Filmproduktion, Fabrique d'images, Skyline Entertainment, Grid Animation","Belgium, Germany, Ireland, Luxembourg","German, Spanish, English, Dutch, Portuguese","animal, noah's ark, christian film"
Guarding Tess,5.954,285,1994-03-11,27058304,96,False,20000000,en,Guarding Tess,15.468,"Comedy, Drama","Channel Films, TriStar Pictures",United States of America,"English, Georgian","bodyguard, celebrity, national security agency (nsa), security guard"
The Pit and the Pendulum,6.8,285,1961-08-12,2000000,81,False,200000,en,The Pit and the Pendulum,10.315,"Horror, Mystery","Alta Vista Productions, American International Pictures",United States of America,English,"spain, inquisition, insanity, supernatural, castle, buried alive, flashback, gothic horror, secret door, madness, torturer, spanish inquisition, pendelum, iron maiden, 14th century"
The Isle,7.007,285,2000-04-22,24963,90,False,50000,ko,섬,14.137,"Drama, Thriller","Myung Films, CJ Entertainment",South Korea,Korean,"island, prostitute, jealousy, card game, eroticism, sadomasochism, liquor"
House of Wax,6.923,285,1953-04-16,23800000,88,False,658000,en,House of Wax,20.812,"Horror, Crime",Warner Bros. Pictures,United States of America,English,"mask, new york city, wheelchair, morgue, guillotine, remake, laboratory, wax museum, disfigured face, psychotronic, sculptor, wax, proto-slasher, 1900s, waxwork"
Eye for an Eye,6.674,285,2019-08-30,2407571,107,False,3328289,es,Quien a hierro mata,7.788,"Drama, Thriller, Crime","Atresmedia, Vaca Films, Quien a hierro mata, Sony Pictures International Productions, Film Constellation, Ministerio de Educación, Cultura y Deporte, Xunta de Galicia, Canal+, ICAA, MEDIA Programme of the European Union, Playtime","Belgium, France, Spain, United Kingdom, United States of America","Galician, Spanish","galicia, spain, mafia"
The Bachelor,5.175,285,1999-11-05,36911617,101,False,51000000,en,The Bachelor,12.395,"Comedy, Romance","George Street Pictures, New Line Cinema, The Lloyd Segan Company",United States of America,English,"san francisco, california, bachelor, remake, inheritance, wedding"
The Year of Living Dangerously,6.677,285,1982-12-17,1317657,115,False,6000000,en,The Year of Living Dangerously,13.852,"Romance, Drama","McElroy & McElroy, Metro-Goldwyn-Mayer, United International Pictures, Freddie Fields Productions","Australia, United States of America","English, Indonesian, Tagalog","civil war, dwarf, photography, journalism, embassy, indonesia, falling in love, jakarta indonesia, java, indonesia, 1960s, jakarta"
The Story of Us,6.049,285,1999-10-14,58900031,96,False,50000000,en,The Story of Us,15.488,"Comedy, Drama, Romance","Universal Pictures, Castle Rock Entertainment, PolyGram Filmed Entertainment",United States of America,English,"love of one's life, therapist, psychology, wedding, relationship, divorce"
Phantom,5.824,284,2013-01-03,1034589,99,False,10000000,en,Phantom,16.123,Thriller,"Trilogy Entertainment Group, RCR Media Group, Solar Filmworks",United States of America,English,"submarine, cold war, soviet union"
"To Sir, with Love",7.491,284,1967-06-14,42432803,105,False,625000,en,"To Sir, with Love",15.756,Drama,Columbia British Productions,United Kingdom,English,"london, england, education, respect, teacher, teenage crush, school, teacher student relationship, high school teacher, maturity, high school dance, east end of london, class field trip, life lessons, dedicated, high school kids"
The Slumber Party Massacre,5.595,284,1982-09-10,3600000,77,False,220000,en,The Slumber Party Massacre,10.061,Horror,Santa Fe Productions (I),United States of America,English,"slumber party, sleepover, cannabis, murder, neighbor, serial killer, slasher, drill, woman director, murder spree"
Willard,6.072,284,2003-03-14,8564586,100,False,22000000,en,Willard,8.311,"Horror, Drama, Thriller","Hard Eight Pictures, New Line Cinema",United States of America,English,"psychopath, human animal relationship, bad boss, evil mother, sociopath, revenge, misfit, mansion, humiliation, rat, obedience, lonely man, pets"
The Object of My Affection,5.803,284,1998-04-17,46905889,111,False,15000000,en,The Object of My Affection,9.384,"Comedy, Drama, Romance",20th Century Fox,United States of America,English,"blind date, love, falling in love, gay theme"
The Mirror Has Two Faces,6.677,283,1996-11-15,41083864,126,False,42000000,en,The Mirror Has Two Faces,10.081,"Comedy, Drama, Romance","Phoenix Pictures, TriStar Pictures",United States of America,English,"professor, wedding, woman director, columbia university"
Tommy,6.408,283,1975-03-19,34251525,111,False,5000000,en,Tommy,12.726,Music,"Robert Stigwood Organization, Hemdale Film",United Kingdom,English,"christmas party, midnight movie, musical, satire, christmas tree, mute, pinball, rock opera, post war, cult leader, blindness, pinball machine, holiday camp, visually impaired person, christmas lights, cult of celebrity"
5 Flights Up,5.973,283,2014-09-05,1020921,92,False,6000000,en,5 Flights Up,10.906,Drama,"Revelations Entertainment, Lascaux Films, Latitude Productions",United States of America,English,"new york city, married couple, moving out"
Bunraku,5.853,283,2010-09-01,129706,118,False,25000000,en,Bunraku,14.665,"Thriller, Action, Drama","Picturesque Films, Outpost Studios, Snoot Entertainment, Ram Bergman Productions",United States of America,English,"bartender, revenge, drifter, uncle nephew relationship"
The Wizard,5.993,283,1989-12-15,14278900,100,False,6000000,en,The Wizard,10.462,"Adventure, Comedy, Drama, Family","Universal Pictures, Carolco Pictures, Finnegan/Pinchuk Productions, Pipeline Productions",United States of America,"English, Italian","california, video game, competition, brother, utah, nintendo, on the road, road movie, power glove"
The Good German,5.724,283,2006-12-15,5914908,108,False,32000000,en,The Good German,8.357,"Drama, War, Thriller, Mystery","Sunset Gower Studios, Warner Bros. Pictures, Section Eight",United States of America,"Russian, English, Mandarin, German","berlin, germany, chauffeur, corruption, love of one's life, nazi, war correspondent, allies, black market, truth, missile, murder, black and white, post war, humanity"
Ju-on: The Grudge 2,6.323,283,2003-08-15,70700000,92,False,20000000,ja,呪怨2,17.971,"Horror, Thriller","Oz Company, Aozora Investments, Pioneer LDC, Nikkatsu Corporation, Xanadeux Company, Kadokawa Shoten, Tokyo Theatres Company",Japan,Japanese,"japan, pregnancy, abandoned house, remake, revenge, spirit, vengeful ghost, tv production, traffic accident"
Tesla,5.89,282,2020-08-14,459051,102,False,5000000,en,Tesla,15.759,"History, Drama","Campbell Grobman Films, Intrinsic Value Films, Jeff Rice Films, Passage Pictures, Millennium Media, Under the Influence Productions",United States of America,"English, French","inventor, biography, based on true story, nikola tesla, tesla coil"
The Great Race,7.151,282,1965-07-01,25333333,160,False,12000000,en,The Great Race,13.009,"Comedy, Adventure",Warner Bros. Pictures,United States of America,"English, Italian","new york city, paris, france, car race, inventor, slapstick comedy, wager, steampunk, daredevil, cross country race, turn of the century, evil genius, mad professor"
Avalon,6.582,282,2001-01-20,8826094,107,False,8000000,pl,Avalon,9.639,"Action, Science Fiction","Deiz Production, Media Factory, Bandai Visual, dentsu, Nippon Herald Films","Japan, Poland",Polish,"future, video game, obsession, dystopia, simulation, addiction, gang, cyberpunk, battle, game, getaway, rumor, illegal, level, virtual"
From the Land of the Moon,6.544,282,2016-10-19,47748,120,False,10300000,fr,Mal de pierres,9.512,"Drama, Romance","Les Productions du Trésor, StudioCanal, Lunanime, France 3 Cinéma","Belgium, France","French, German, Spanish","based on novel or book, female protagonist, post world war ii, woman director"
What's Love Got to Do with It,7.064,282,1993-06-09,39100000,118,False,15000000,en,What's Love Got to Do with It,12.878,"Drama, Music, History",Touchstone Pictures,United States of America,English,"1970s, record producer, biography, recording studio, celebrity, singer, fame, domestic violence, physical abuse, price of fame, 1960s, abusive husband, music industry"
Frozen River,6.64,282,2008-03-26,5457664,97,False,1000000,en,Frozen River,10.854,Drama,"Harwood Hunt Productions, Cohen Media Group",United States of America,"English, French, Urdu, Mandarin","trailer park, illegal immigration, human trafficking, border crossing, snow, undocumented immigrant, new york state, native american reservation, woman director, canadian border"
A Good Doctor,6.566,281,2019-12-11,6294941,90,False,6837995,fr,Docteur ?,8.312,Comedy,"UNITÉ, France 2 Cinéma, Other Angle Pictures, Pandora Filmes, Apollo Films",France,French,"holiday, christmas eve"
Danger Close: The Battle of Long Tan,6.863,281,2019-08-08,2078370,119,False,23934823,en,Danger Close: The Battle of Long Tan,14.722,"War, Action, Drama, History","Red Dune Films, Full Clip Productions, Deeper Water Films, Sunjive Studios, THN Nominees, Hoosegow Productions, Ingenious Media","Australia, United Kingdom","English, Vietnamese","vietnam war, based on true story, last stand, 1960s, outnumbered, brothers-in-arms relationship, anzac, historical battle"
Swades,7.253,281,2004-12-17,4800000,189,False,2900000,hi,स्वदेस,9.711,Drama,"Ashutosh Gowariker Productions, UTV Motion Pictures","India, United States of America","English, Hindi","nasa, social issues"
Ondine,6.279,281,2009-09-14,1790061,111,False,12000000,en,Ondine,11.898,"Drama, Romance","Start Motion Pictures, Wayfare Entertainment, Octagon Films, Little Wave Productions, RTÉ, Fís Éireann/Screen Ireland","Ireland, United States of America","English, Romanian","alcohol, mermaid, wedding dress, fishing net, selkie"
Swiss Family Robinson,6.897,281,1960-12-21,40356000,126,False,5000000,en,Swiss Family Robinson,13.408,"Adventure, Family",Walt Disney Productions,United States of America,"English, Italian","island, based on novel or book, shipwreck, tree house, pirate gang, zebra, pirate, ostrich, 19th century, swiss family robinson"
Freejack,5.347,281,1992-01-17,17129026,110,False,30000000,en,Freejack,12.078,"Science Fiction, Action, Crime","Morgan Creek, Warner Bros. Pictures",United States of America,English,"future, based on novel or book, chase, immortality, dystopia, post-apocalyptic future, time travel"
Clockstoppers,5.25,280,2002-03-17,38793283,94,False,26000000,en,Clockstoppers,17.526,"Adventure, Family, Science Fiction, Thriller","Paramount, Nickelodeon Movies, Valhalla Motion Pictures",United States of America,English,"airplane, time, national security agency (nsa), time freeze , wristwatch"
Unaccompanied Minors,6.0,280,2006-12-08,21949234,90,False,26000000,en,Unaccompanied Minors,13.647,"Comedy, Family","Warner Bros. Pictures, Village Roadshow Pictures, The Donners' Company",United States of America,English,"holiday, christmas tree, christmas"
Leprechaun 2,5.45,280,1994-04-08,2260622,85,False,2000000,en,Leprechaun 2,18.194,"Comedy, Horror",Planet Productions,United States of America,English,"sequel, leprechaun, slasher"
The Company of Wolves,6.293,280,1984-09-21,4389334,95,False,2000000,en,The Company of Wolves,12.935,"Horror, Fantasy","Palace Pictures, ITC Entertainment, Cannon Group, Film4 Productions",United Kingdom,English,"dream, grandparent grandchild relationship, wolf, fairy tale, werewolf, grandmother, red riding hood, dark fairy tale, dark forest"
A Touch of Sin,7.259,280,2013-10-04,154120,131,False,4000000,zh,天注定,11.25,"Drama, Crime, Action","Office Kitano, Xstream Pictures, Shanghai Film Group, Shanxi Film & Television Group, Bandai Visual, Bitters End, MK2 Films","China, France, Japan","Cantonese, Mandarin, English","bureaucracy, china, alienation, rifle, anthology, displacement, humiliation, modern china, decadence, embezzlement, return of son, anomie, true events"
Love in the Afternoon,7.007,279,1957-05-29,2000000,130,False,2100000,en,Love in the Afternoon,11.964,"Comedy, Romance","Billy Wilder Productions, Allied Artists Pictures",United States of America,"English, French","hotel, paris, france, based on novel or book, romantic comedy, playboy, love, private detective, ritz hotel"
Primary Colors,6.253,279,1998-03-20,52100000,143,False,65000000,en,Primary Colors,10.558,Drama,"Mutual Film Company, Universal Pictures","France, Germany, Japan, United Kingdom, United States of America",English,"usa president, the white house, presidential election, new hampshire, scandal, extramarital affair, presidential candidate"
Incredible But True,5.991,279,2022-06-15,2329813,74,False,4340000,fr,Incroyable mais vrai,11.996,"Comedy, Drama","Diaphana Films, WTFilms, Atelier de Production, ARTE France Cinéma",France,French,time travel
Dark Blue,6.183,279,2002-12-14,12150301,118,False,15000000,en,Dark Blue,9.069,"Crime, Drama, Thriller, Action","Intermedia Films, IM Filmproduktion, Cosmic Picture, Alphaville Films, United Artists, Metro-Goldwyn-Mayer, Senator International","Germany, United Kingdom, United States of America",English,"police brutality, corruption, ghetto, street war, hold-up robbery, moral conflict, special unit, riot, police everyday life, cop, los angeles, california, family, urban setting"
Benji,6.95,279,2018-03-16,585333,87,False,6000000,en,Benji,19.472,"Crime, Drama, Family","Blumhouse Productions, Symbolic Exchange","United Arab Emirates, United States of America",English,"dog, reboot, benji"
Porky's II: The Next Day,5.695,279,1983-06-24,33759266,98,False,6500000,en,Porky's II: The Next Day,10.117,Comedy,"Simon Reeves Landsburg Productions, 20th Century Fox","Canada, United States of America",English,"ku klux klan, lust, religious fundamentalism, teaching, misadventure, duringcreditsstinger"
Catch That Kid,5.594,279,2004-02-06,16951702,92,False,18000000,en,Catch That Kid,11.963,"Family, Action, Adventure","Fox 2000 Pictures, Mad Chance, Mediastream Dritte Film GmbH & Co. Beteiligungs KG, Splendid Productions, Nimbus Film, 20th Century Fox","Denmark, United States of America",English,"spy, genius, remake, juvenile delinquent, bank robbery, interracial friendship"
Wendy and Lucy,6.839,279,2008-12-10,1192655,81,False,200000,en,Wendy and Lucy,8.363,Drama,"Glass Eye Pix, filmscience, Washington Square Films, Field Guide Films, Oscilloscope",United States of America,English,"friendship, oregon, usa, survival, scar, dog, family, broken down car, woman director, journey, mysterious past"
Orlando,6.91,279,1992-12-11,5377643,90,False,4000000,en,Orlando,7.567,"Drama, Fantasy","Mikado Film, Adventure Pictures, Rio, Sigma Pictures, Lenfilm","France, Italy, Netherlands, Russia, United Kingdom","English, French, Russian, Turkish","london, england, based on novel or book, queen elizabeth i, breaking the fourth wall, androgyny, woman director, nobleman, women's rights, ottoman empire"
Post Grad,4.991,279,2009-08-21,6414729,89,False,15000000,en,Post Grad,14.272,"Comedy, Drama","The Montecito Picture Company, Dune Entertainment, Cold Spring Pictures, Fox Atomic",United States of America,English,"career, family, unemployment, woman director, graduation speech"
Shorts,5.839,279,2009-08-21,28972508,89,False,40000000,en,Shorts,11.649,"Family, Fantasy, Comedy","Troublemaker Studios, Imagenation Abu Dhabi FZ, MRC","United Arab Emirates, United States of America",English,
Swimming with Sharks,6.617,278,1994-09-10,382928,93,False,700000,en,Swimming with Sharks,9.171,"Crime, Comedy","Trimark Pictures, Cineville",United States of America,English,"career, kidnapping, manipulation, dark comedy, satire, punishment, revenge, hollywood, los angeles, california, humiliation, disgruntled worker, verbal abuse, studio executive, movie producer, evil boss"
Pollock,6.651,278,2000-09-06,10994533,122,False,6000000,en,Pollock,10.022,"Drama, Romance","Zeke Productions, Fred Berner Films",United States of America,English,"painting, artist, success, painter, biography, relationship problems, alcoholism, falling in love, expressionism, 1940s, art exhibition, jackson pollock"
"For a Good Time, Call...",5.878,278,2012-08-31,1243961,85,False,850000,en,"For a Good Time, Call...",12.146,"Comedy, Drama",AdScott Pictures,United States of America,English,"crude humor, best friend, phone sex, innuendo, dirty joke"
Grand Hotel,6.948,278,1932-05-25,2594000,112,False,700000,en,Grand Hotel,11.747,"Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,"hotel, card game, burglar, stolen money, based on play or musical, industrialist, baron, dying man, murder, tragic love, black and white, conscience, jewel thief, pre-code, merger, public humiliation, revolving door, dachshund, stenographer, flirtation, prima ballerina, bookkeeper"
Bird,6.8,277,1988-06-01,2000000,161,False,9000000,en,Bird,13.133,"Drama, Music","Warner Bros. Pictures, Malpaso Productions",United States of America,English,"jazz, heroin, saxophone, biography, psychiatric hospital, heroin addict, electroconvulsive therapy, death of daughter, bebop, eiffel tower, paris, 1950s"
The Baytown Outlaws,6.005,277,2012-08-27,37470,98,False,4000000,en,The Baytown Outlaws,12.974,"Action, Comedy, Crime","Lleju Productions, State Street Pictures",United States of America,"Spanish, English","fight, gas station, anti hero, midnight movie, murder, mute, shootout, motorcycle gang, brawl, painted face, face paint, pantyless"
Justin and the Knights of Valour,5.933,277,2013-08-09,19799759,90,False,22000000,en,Justin and the Knights of Valour,11.858,"Animation, Adventure","Audiovisual Aval SGR, Atresmedia, Aliwood Mediterráneo Producciones, Gobierno de Cantabria, Consejería de Cultura, Turismo y Deporte, Kandor Graphics, ICO, Out Of The Box Features, Timeless Films","Spain, United Kingdom",English,"army, kingdom, bravery, honor, knight, dragon, valor, wizard, quest"
Futureworld,5.917,277,1976-08-13,4200000,108,False,2500000,en,Futureworld,16.17,"Action, Adventure, Science Fiction, Thriller",American International Pictures,United States of America,English,"android, journalist, clone, killer robot, robot as menace, reporter, doppelgänger, world domination"
Apartment 1303 3D,3.668,277,2012-12-06,3377891,101,False,5000000,en,Apartment 1303 3D,8.703,Horror,1303 Productions,"United States of America, Canada",English,
Beyond a Reasonable Doubt,5.69,277,2009-02-05,4388563,105,False,25000000,en,Beyond a Reasonable Doubt,9.708,Thriller,"Aramid Entertainment Fund, Autonomous Films, Foresight Unlimited, Government of Saudi Arabia, Signature Entertainment, RKO Pictures LLC",United States of America,English,"reporter, criminal"
The Grand Seduction,6.654,276,2014-05-30,3430018,112,False,12700000,en,The Grand Seduction,11.979,Comedy,"Morag Loves Company, Max Films",Canada,English,"newfoundland and labrador, doctor, bribery, new job, scheming, ruse, hospitality"
Extraordinary Measures,6.215,276,2010-01-21,15134293,105,False,31000000,en,Extraordinary Measures,12.608,Drama,"Double Feature Films, CBS Films",United States of America,English,"hereditary disease, university research"
Solitary Man,5.871,276,2009-09-07,5024782,90,False,15000000,en,Solitary Man,15.7,"Comedy, Drama, Romance","Paul Schiff Productions, Smartest Man Productions, Millennium Media",United States of America,English,"infidelity, bankrupt, loneliness, family drama"
Hacker,6.269,276,2016-09-15,11239,95,False,2000000,en,Hacker,10.698,"Crime, Drama, Thriller","Sataifilm, Know Rules Media, Brillstein Entertainment Partners, West on Wilshire","Canada, Kazakhstan, Hong Kong, Thailand, United States of America",English,"hacker, black market, fbi, hustler, based on true story, identity theft, financial market, trading"
Ben X,6.942,276,2007-08-26,27,90,False,1500000,nl,Ben X,7.423,Drama,MMG Film & TV Production,Belgium,Dutch,"underdog, video game, virtual reality, autism, games, mobbing, asperger's syndrome, school life"
Baby Boy,7.147,276,2001-06-27,29381649,130,False,16000000,en,Baby Boy,13.825,"Crime, Drama, Romance, Thriller","New Deal Productions, Columbia Pictures",United States of America,English,"bootlegger, single parent, intolerance, fistfight, condom, stepfather, womanizer, thief, domestic violence, gunfight, los angeles, california, physical abuse, ex-con, selfishness, passive aggression, fatherhood, convicted felon, south central los angeles"
The Vikings,7.1,275,1958-06-11,20311,115,False,5000000,en,The Vikings,18.144,"Action, Adventure, History","Brynaprod S.A., Curtleigh Productions, United Artists","Switzerland, United States of America",English,"epic, ship, based on novel or book, falcon, scandinavia, viking, norway, slave, technicolor, northumberland, wolves, 9th century"
Hoop Dreams,7.631,275,1994-09-12,7830611,174,False,700000,en,Hoop Dreams,6.954,Documentary,"Fine Line Features, Kartemquin Films",United States of America,English,"chicago, illinois, sports, narration, ghetto, college, basketball, high school sports, inner city, high school student"
Rugrats Go Wild,6.196,275,2003-06-13,55443032,84,False,25000000,en,Rugrats Go Wild,19.905,"Animation, Family, Adventure, Comedy","Nickelodeon Movies, Klasky-Csupo, Paramount",United States of America,English,
Harlem Nights,6.089,275,1989-11-17,60864870,116,False,30000000,en,Harlem Nights,19.398,"Comedy, Crime, Drama","Paramount, Eddie Murphy Productions",United States of America,"English, Russian","corruption, police, nightclub, rivalry, friends, hoodlum, nightclub owner, harlem, new york city, 1920s"
Son of God,6.871,275,2014-02-28,67800064,138,False,22000000,en,Son of God,17.406,Drama,"Hearst Entertainment Productions, LightWorkers Media, 20th Century Fox",United States of America,"English, Hebrew","christianity, crucifixion, bible, biography, resurrection, torture, jesus christ, christian film"
Moms' Night Out,5.613,275,2014-03-25,10429707,98,False,5000000,en,Moms' Night Out,10.675,Comedy,"TriStar Pictures, Provident Films, Pure Flix Entertainment, Affirm Films, FourBoys Entertainment",United States of America,English,"husband wife relationship, parent child relationship, stress, parenthood, parenting, duringcreditsstinger"
The Best Is Yet to Come,6.813,275,2019-12-04,7201952,117,False,13000000,fr,Le Meilleur reste à venir,9.194,"Comedy, Drama","Chapter 2, Pathé, M6 Films, CN8 Productions, Belga Productions, Onyx Films, Fargo Films","Belgium, France",French,"friendship, friends, misunderstanding"
Dilwale,6.615,275,2015-12-18,61000000,158,False,26000000,hi,दिलवाले,7.286,"Crime, Action, Comedy","Red Chillies Entertainment, Rohit Shetty Productionz",India,"Hindi, English",mafia
